WINDOWSIZE;ERRORRATE;TIME IN SEC;TIMERINTERRUPTS;RECEIVEDACKS;MIDRTT FOR GOOD ACKS IN MS;MIDRTT FOR ALL ACKS IN MS
100;1000;3.520767312;5;842;76.972362;83.163882
100;1000;0.742591222;0;842;79.199253;79.199253
100;1000;0.756506055;0;842;80.542367;80.542367
100;1000;0.717041272;0;842;76.025151;76.025151
100;1000;4.309755373;7;842;69.786832;78.338023
100;100;11.741200148;15;842;74.285239;98.243317
100;100;12.634451454;13;842;69.413566;91.623256
100;100;10.730015381;13;842;75.397279;95.312701
100;100;11.704356342;15;842;73.248939;97.146907
100;100;11.647027411;16;842;68.582979;93.576669
100;10;24.040918881;98;842;57.507685;213.059601
100;10;24.748419663;97;842;43.567425;184.734772
100;10;22.601994902;97;842;41.12638;185.498439
100;10;22.61220694;97;842;40.65401;181.723876
100;10;24.874603784;97;842;41.386313;182.893984
